,MESS_DATUM, RSK
979,20190124,0.0
980,20190125,0.6
981,20190126,1.7
982,20190127,4.8
983,20190128,0.6
984,20190129,0.0
985,20190130,0.8
986,20190131,1.8
987,20190201,0.2
988,20190202,5.2
989,20190203,0.0
990,20190204,0.7
991,20190205,0.0
992,20190206,11.6
993,20190207,0.8
994,20190208,4.0
995,20190209,8.8
996,20190210,21.4
997,20190211,1.0
998,20190212,0.0
999,20190213,0.0
1000,20190214,0.0
1001,20190215,0.0
1002,20190216,0.0
1003,20190217,0.0
1004,20190218,0.1
1005,20190219,0.0
1006,20190220,0.0
1007,20190221,0.4
1008,20190222,0.1
1009,20190223,0.0
1010,20190224,0.0
1011,20190225,0.0
1012,20190226,0.0
1013,20190227,0.0
1014,20190228,1.2
1015,20190301,0.1
1016,20190302,2.4
1017,20190303,6.3
1018,20190304,3.4
1019,20190305,1.3
1020,20190306,1.7
1021,20190307,8.4
1022,20190308,4.1
1023,20190309,10.6
1024,20190310,13.2
1025,20190311,2.0
1026,20190312,2.3
1027,20190313,4.8
1028,20190314,8.3
1029,20190315,5.7
1030,20190316,5.6
1031,20190317,3.9
1032,20190318,0.2
1033,20190319,0.0
1034,20190320,0.0
1035,20190321,0.0
1036,20190322,0.0
1037,20190323,0.0
1038,20190324,0.0
1039,20190325,1.9
1040,20190326,0.0
1041,20190327,0.0
1042,20190328,0.0
1043,20190329,0.0
1044,20190330,0.0
1045,20190331,0.0
1046,20190401,0.0
1047,20190402,2.6
1048,20190403,0.0
1049,20190404,0.0
1050,20190405,0.0
1051,20190406,0.2
1052,20190407,0.0
1053,20190408,0.0
1054,20190409,0.0
1055,20190410,0.0
1056,20190411,0.0
1057,20190412,0.0
1058,20190413,0.6
1059,20190414,0.0
1060,20190415,0.0
1061,20190416,0.1
1062,20190417,0.0
1063,20190418,0.0
1064,20190419,0.0
1065,20190420,0.0
1066,20190421,0.0
1067,20190422,0.0
1068,20190423,0.2
1069,20190424,9.8
1070,20190425,9.1
1071,20190426,0.4
1072,20190427,5.5
1073,20190428,0.0
1074,20190429,0.0
1075,20190430,0.0
1076,20190501,0.0
1077,20190502,0.8
1078,20190503,3.2
1079,20190504,4.6
1080,20190505,0.5
1081,20190506,0.0
1082,20190507,0.1
1083,20190508,1.4
1084,20190509,0.5
1085,20190510,0.1
1086,20190511,0.0
1087,20190512,0.0
1088,20190513,0.0
1089,20190514,0.0
1090,20190515,0.0
1091,20190516,0.0
1092,20190517,1.7
1093,20190518,0.0
1094,20190519,7.9
1095,20190520,0.0
1096,20190521,0.0
1097,20190522,0.0
1098,20190523,0.0
1099,20190524,0.0
1100,20190525,0.0
1101,20190526,1.7
1102,20190527,8.9
1103,20190528,5.8
1104,20190529,0.1
1105,20190530,0.1
1106,20190531,0.0
1107,20190601,0.0
1108,20190602,2.8
1109,20190603,0.0
1110,20190604,1.6
1111,20190605,36.4
1112,20190606,0.0
1113,20190607,0.0
1114,20190608,0.3
1115,20190609,0.0
1116,20190610,2.9
1117,20190611,0.0
1118,20190612,8.9
1119,20190613,4.5
1120,20190614,12.7
1121,20190615,0.7
1122,20190616,0.5
1123,20190617,0.0
1124,20190618,0.0
1125,20190619,3.0
1126,20190620,0.3
1127,20190621,0.0
1128,20190622,0.0
1129,20190623,0.0
1130,20190624,0.0
1131,20190625,0.0
1132,20190626,0.0
1133,20190627,0.0
